First line indicates sampling freq [Hz], samples per channel, QTimer [ms] ,,,
Fx, Fy, Fz, Mz, My, Mz 
-0.246503916,0.004594748,0.002827992,-0.006099943,0.001478462,-0.000109345
-0.258118002,0.165821342,0.214235377,-0.002114094,-0.007165827,-0.003552801
0.11206842,0.386530646,0.218114569,0.00229106,-0.014424606,-0.008614488
-0.388968819,0.098738009,-0.004704481,0.000509214,-0.008308057,-0.001955165
-0.262113661,0.02534194,-0.220067628,0.003148127,-0.010841165,-0.000234679
0.118789865,0.233860506,0.003557889,0.001399038,-0.011035,-0.005192477
-0.265359242,0.154060703,-0.002467763,0.000843008,0.001445695,-0.003605859
-0.125026355,-0.070717616,-0.002342829,-0.000437109,0.000668032,0.001680081
0.122750685,0.220381881,-0.206740548,-0.001728198,-0.002335895,-0.005232031
-0.261810448,0.300090684,0.005045888,-0.004382717,0.001588093,-0.007075366
-0.251396557,0.013151203,-0.000321304,-0.003006117,-0.003776221,-0.00013079
-0.008065293,0.307256575,0.218921036,-0.001239876,-0.008501892,-0.006912962
-0.133091648,0.236538958,0.216578206,-0.001676985,-0.00783386,-0.005232882
-0.261666795,0.019791361,0.206721726,0.00311163,-0.007308225,-8.33E-05
0.118789865,0.233860506,0.003557889,0.001399038,-0.011035,-0.005192477
-0.006236489,0.16314289,0.001215059,0.000961928,-0.010366968,-0.003512396
-0.262598617,0.01486919,-0.006726007,0.003078221,-0.003863803,-0.000144294
-0.1317478,0.081952523,0.212213851,0.000454913,-0.002721574,-0.00174193
-0.13495529,0.226694616,-0.210317259,-0.001743804,-0.000945016,-0.00535488
-0.126855158,0.073396068,0.215363147,-0.002638913,0.002533109,-0.001720485
0.003548793,0.146029981,0.007513651,-0.005225725,0.000142398,-0.003469506
-0.010825918,0.446448089,0.22317928,-0.003475089,-0.003192393,-0.010374528
-0.126370203,0.083868819,0.002021526,-0.002569007,-0.004444253,-0.001810871
-0.131262844,0.092425274,-0.00112777,0.000524819,-0.009698936,-0.001832316
-0.13891611,0.240173242,-1.88E-05,0.001383432,-0.009644121,-0.005315326
-0.00396082,0.013478626,0.210298436,0.003127236,-0.008699105,3.96E-05
-0.136640441,0.090508978,0.209064555,0.00354874,-0.007976257,-0.001763375
-0.020199174,0.304052391,-0.0009314,0.004811053,-0.005145052,-0.006987465
-0.007653266,0.147747968,0.001108948,0.000858613,5.48E-05,-0.00348301
-0.122409382,0.070390193,-0.208276911,-0.005696243,0.004254851,-0.001850425
0.128575148,0.216747597,0.009856481,-0.004788616,-0.000525634,-0.005149587
-0.001343848,0.154586435,0.004364355,-0.002131898,-0.005112285,-0.003490951
-0.251396557,0.013151203,-0.000321304,-0.003006117,-0.003776221,-0.00013079
-0.13891611,0.240173242,-1.88E-05,0.001383432,-0.009644121,-0.005315326
-0.006236489,0.16314289,0.001215059,0.000961928,-0.010366968,-0.003512396
-0.124541399,-0.060244866,-0.215684451,-0.000367203,-0.00630933,0.001589695
-0.13891611,0.240173242,-1.88E-05,0.001383432,-0.009644121,-0.005315326
-0.020199174,0.304052391,-0.0009314,0.004811053,-0.005145052,-0.006987465
-0.263530438,0.009947019,-0.220173739,0.003044812,-0.000419381,-0.000205293
-0.129130828,0.223060333,0.00627977,-0.004804221,0.000865245,-0.005272436
-0.003172652,0.29870012,0.222070332,-0.004333702,-0.003247209,-0.006891517
-0.246503916,0.004594748,0.002827992,-0.006099943,0.001478462,-0.000109345
-0.12054574,0.080234536,0.218618554,-0.005629425,-0.002633992,-0.001728427
0.005412436,0.155874323,0.434409116,-0.005158906,-0.006746446,-0.003347508
-0.132194665,0.087503102,-0.214575503,0.00049141,-0.006254514,-0.001893315
-0.256289198,0.021707657,-0.0034706,8.77E-05,-0.009030904,-0.000152235
-0.013889755,0.310890858,0.002324007,0.001820541,-0.010312153,-0.006995406
-0.270251883,0.162617158,-0.005617059,0.003936834,-0.003808988,-0.003627304
-0.137572262,0.085586806,-0.004383177,0.00351533,-0.004531835,-0.001824375
-0.008997114,0.302334404,0.005473303,-0.001273285,-0.00505747,-0.006973962
0.003548793,0.146029981,0.007513651,-0.005225725,0.000142398,-0.003469506
-0.113824295,-0.072435604,0.004061873,-0.006521447,0.000755614,0.001693584
-0.134023469,0.231616787,0.003130474,-0.001710394,-0.004389438,-0.005293881
-0.126370203,0.083868819,0.002021526,-0.002569007,-0.004444253,-0.001810871
-0.256289198,0.021707657,-0.0034706,8.77E-05,-0.009030904,-0.000152235
-0.13891611,0.240173242,-1.88E-05,0.001383432,-0.009644121,-0.005315326
-0.013889755,0.310890858,0.002324007,0.001820541,-0.010312153,-0.006995406
-0.137572262,0.085586806,-0.004383177,0.00351533,-0.004531835,-0.001824375
-0.132194665,0.087503102,-0.214575503,0.00049141,-0.006254514,-0.001893315
-0.008997114,0.302334404,0.005473303,-0.001273285,-0.00505747,-0.006973962
-0.257705975,0.006312735,-0.003576711,-1.56E-05,0.00139088,-0.000122849
-0.246503916,0.004594748,0.002827992,-0.006099943,0.001478462,-0.000109345
-0.003172652,0.29870012,0.222070332,-0.004333702,-0.003247209,-0.006891517
-0.126370203,0.083868819,0.002021526,-0.002569007,-0.004444253,-0.001810871
-0.251396557,0.013151203,-0.000321304,-0.003006117,-0.003776221,-0.00013079
-0.013889755,0.310890858,0.002324007,0.001820541,-0.010312153,-0.006995406
-0.006236489,0.16314289,0.001215059,0.000961928,-0.010366968,-0.003512396
-0.276076345,0.166251441,-0.222214087,0.006997252,-0.005619249,-0.003709748
-0.00716831,0.158220719,-0.212232673,0.000928519,-0.006922546,-0.003573396
-0.012545908,0.156304423,-0.002040348,0.00395244,-0.005199867,-0.003504455
-0.244675112,-0.139518937,-0.214877984,-0.003898139,-0.000386615,0.003291221
0.003548793,0.146029981,0.007513651,-0.005225725,0.000142398,-0.003469506
-0.129130828,0.223060333,0.00627977,-0.004804221,0.000865245,-0.005272436
-0.246503916,0.004594748,0.002827992,-0.006099943,0.001478462,-0.000109345
-0.008997114,0.302334404,0.005473303,-0.001273285,-0.00505747,-0.006973962
-0.146569376,0.38792121,0.001090126,0.002242045,-0.009589305,-0.008798336
-0.256289198,0.021707657,-0.0034706,8.77E-05,-0.009030904,-0.000152235
-0.144740572,0.243807525,-0.21661585,0.00444385,-0.011454382,-0.00539777
0.118789865,0.233860506,0.003557889,0.001399038,-0.011035,-0.005192477
-0.262598617,0.01486919,-0.006726007,0.003078221,-0.003863803,-0.000144294
-0.251396557,0.013151203,-0.000321304,-0.003006117,-0.003776221,-0.00013079
0.123682507,0.225304052,0.006707185,-0.001694789,-0.005780317,-0.005171032
-0.254157182,0.152342716,0.00393694,-0.00524133,0.001533277,-0.003592355
